tokens per iteration will be: 491,520
Resuming training from out2
number of parameters: 123.59M
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 25, with 19,200 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
wandb: WARNING W&B installed but not logged in.  Run `wandb login` or set the WANDB_API_KEY env variable.
iter 30680: loss nan, time 12693.53ms, mfu 10.48%
iter 30720: loss nan, time 12692.72ms, mfu 10.49%
iter 30760: loss nan, time 12693.32ms, mfu 10.51%
iter 30800: loss nan, time 12694.32ms, mfu 10.52%
iter 30840: loss nan, time 12693.92ms, mfu 10.53%
iter 30880: loss nan, time 12693.59ms, mfu 10.53%
iter 30920: loss nan, time 12693.57ms, mfu 10.54%
iter 30960: loss nan, time 12693.66ms, mfu 10.55%
iter 31000: loss nan, time 12692.85ms, mfu 10.55%
iter 31040: loss nan, time 12692.56ms, mfu 10.56%
iter 31080: loss nan, time 12693.57ms, mfu 10.56%
iter 31120: loss nan, time 12692.43ms, mfu 10.57%
iter 31160: loss nan, time 12692.56ms, mfu 10.57%
iter 31200: loss nan, time 12693.41ms, mfu 10.58%
iter 31240: loss nan, time 12692.17ms, mfu 10.58%
iter 31280: loss nan, time 12692.21ms, mfu 10.58%
iter 31320: loss nan, time 12692.17ms, mfu 10.59%
iter 31360: loss nan, time 12694.10ms, mfu 10.59%
iter 31400: loss nan, time 12693.76ms, mfu 10.59%
iter 31440: loss nan, time 12693.38ms, mfu 10.59%
iter 31480: loss nan, time 12694.20ms, mfu 10.59%
iter 31520: loss nan, time 12709.13ms, mfu 10.59%
iter 31560: loss nan, time 12694.85ms, mfu 10.59%
iter 31600: loss nan, time 12692.37ms, mfu 10.60%
iter 31640: loss nan, time 12694.14ms, mfu 10.60%
iter 31680: loss nan, time 12691.83ms, mfu 10.60%
iter 31720: loss nan, time 12693.35ms, mfu 10.60%
iter 31760: loss nan, time 12692.59ms, mfu 10.60%
iter 31800: loss nan, time 12693.28ms, mfu 10.60%
iter 31840: loss nan, time 12692.79ms, mfu 10.60%
iter 31880: loss nan, time 12692.71ms, mfu 10.60%
iter 31920: loss nan, time 12693.87ms, mfu 10.60%
iter 31960: loss nan, time 12693.95ms, mfu 10.60%
step 32000: train loss nan, val loss nan
saving checkpoint to out2
iter 32000: loss nan, time 47347.81ms, mfu 9.83%
iter 32040: loss nan, time 12691.44ms, mfu 9.91%
iter 32080: loss nan, time 12690.23ms, mfu 9.98%
iter 32120: loss nan, time 12691.41ms, mfu 10.04%
iter 32160: loss nan, time 12690.41ms, mfu 10.10%
iter 32200: loss nan, time 12691.55ms, mfu 10.15%
iter 32240: loss nan, time 12692.16ms, mfu 10.19%
iter 32280: loss nan, time 12690.53ms, mfu 10.24%
slurmstepd: error: *** JOB 122525 ON gpu05 CANCELLED AT 2023-05-24T11:03:07 ***
